"x","y","elevation"
-2105000,1562500,982.268493652344
-2104500,1562500,1066.61987304688
-2104000,1562500,1145.06140136719
-2103500,1562500,1114.08581542969
-2103000,1562500,1100.31518554688
-2102500,1562500,1112.65747070312
-2102000,1562500,1126.92907714844
-2101500,1562500,1228.0107421875
-2101000,1562500,1196.28173828125
-2100500,1562500,1228.90148925781
-2100000,1562500,1209.8955078125
-2099500,1562500,1271.66015625
-2099000,1562500,1305.81762695312
-2098500,1562500,1331.94702148438
-2098000,1562500,1292.45678710938
-2097500,1562500,1263.60705566406
-2097000,1562500,1306.17602539062
-2096500,1562500,1266.51306152344
-2096000,1562500,1267.29858398438
-2095500,1562500,1392.82275390625
-2095000,1562500,1335.41442871094
-2094500,1562500,1385.0244140625
-2094000,1562500,1358.1611328125
-2093500,1562500,1406.09545898438
-2093000,1562500,1376.05725097656
-2092500,1562500,1379.88134765625
-2092000,1562500,1442.91613769531
-2091500,1562500,1466.64367675781
-2091000,1562500,1500.97692871094
-2090500,1562500,1525.68859863281
-2090000,1562500,1554.392578125
-2089500,1562500,1581.90637207031
-2089000,1562500,1615.47961425781
-2088500,1562500,1648.69519042969
-2088000,1562500,1676.81872558594
-2087500,1562500,1779.84558105469
-2087000,1562500,1849.43432617188
-2086500,1562500,2031.99365234375
-2086000,1562500,2001.36877441406
-2085500,1562500,2159.03686523438
-2085000,1562500,2067.07690429688
-2084500,1562500,2309.04321289062
-2084000,1562500,2186.47314453125
-2083500,1562500,2343.74682617188
-2083000,1562500,2421.34399414062
-2082500,1562500,2415.87353515625
-2082000,1562500,2190.36328125
-2081500,1562500,2040.20080566406
-2081000,1562500,1972.91931152344
-2080500,1562500,1958.96716308594
-2080000,1562500,2136.8701171875
-2079500,1562500,2002.99133300781
-2079000,1562500,1971.34411621094
-2078500,1562500,2164.00048828125
-2078000,1562500,2036.17468261719
-2077500,1562500,1823.60083007812
-2077000,1562500,2007.53930664062
-2076500,1562500,1912.84936523438
-2076000,1562500,1797.32971191406
-2075500,1562500,1955.37963867188
-2075000,1562500,1896.34130859375
-2074500,1562500,1915.22473144531
-2074000,1562500,1862.84521484375
-2073500,1562500,1835.31701660156
-2073000,1562500,1817.75866699219
-2072500,1562500,1806.45739746094
-2072000,1562500,1826.47985839844
-2071500,1562500,1878.16735839844
-2071000,1562500,1902.16662597656
-2070500,1562500,1901.56701660156
-2070000,1562500,1939.19848632812
-2069500,1562500,1789.07238769531
-2069000,1562500,1661.74645996094
-2068500,1562500,1640.15686035156
-2068000,1562500,1739.68322753906
-2067500,1562500,1775.93249511719
-2067000,1562500,1954.2216796875
-2066500,1562500,1940.30383300781
-2066000,1562500,1782.95922851562
-2065500,1562500,1616.46166992188
-2065000,1562500,1696.7578125
-2064500,1562500,1781.95178222656
-2064000,1562500,1645.2900390625
-2063500,1562500,1491.49340820312
-2063000,1562500,1580.3505859375
-2062500,1562500,1691.5986328125
-2062000,1562500,1599.13671875
-2061500,1562500,1360.6328125
-2061000,1562500,1356.14233398438
-2060500,1562500,1229.50671386719
-2060000,1562500,1356.14453125
-2059500,1562500,1440.65649414062
-2059000,1562500,1333.23767089844
-2058500,1562500,1391.11657714844
-2058000,1562500,1414.37133789062
-2057500,1562500,1375.48864746094
-2057000,1562500,1229.38562011719
-2056500,1562500,1085.96813964844
-2056000,1562500,924.173034667969
-2055500,1562500,1097.93212890625
-2055000,1562500,1203.13305664062
-2054500,1562500,1314.86169433594
-2054000,1562500,1356.13024902344
-2053500,1562500,1341.73046875
-2053000,1562500,1270.99011230469
-2052500,1562500,1245.94226074219
-2052000,1562500,1184.759765625
-2051500,1562500,1044.39367675781
-2051000,1562500,1105.98474121094
-2050500,1562500,1109.55920410156
-2050000,1562500,1094.43725585938
-2049500,1562500,1174.01611328125
-2049000,1562500,1076.07971191406
-2048500,1562500,1145.55334472656
-2048000,1562500,1099.11901855469
-2047500,1562500,949.373779296875
-2047000,1562500,743.245483398438
-2046500,1562500,738.479797363281
-2046000,1562500,738.639587402344
-2045500,1562500,905.760803222656
-2045000,1562500,954.382446289062
-2044500,1562500,918.600646972656
-2044000,1562500,904.018432617188
-2043500,1562500,949.925842285156
-2043000,1562500,1021.05541992188
-2042500,1562500,1084.0537109375
-2042000,1562500,1149.59313964844
-2041500,1562500,1293.08190917969
-2041000,1562500,1358.88549804688
-2040500,1562500,1458.67492675781
-2040000,1562500,1537.73010253906
-2039500,1562500,1533.81494140625
-2039000,1562500,1563.27856445312
-2038500,1562500,1467.33203125
-2038000,1562500,1481.8955078125
-2037500,1562500,1572.82666015625
-2037000,1562500,1575.42333984375
-2036500,1562500,1535.21594238281
-2036000,1562500,1512.77111816406
-2035500,1562500,1517.48132324219
-2035000,1562500,1537.89660644531
-2034500,1562500,1660.00134277344
-2034000,1562500,1697.32824707031
-2033500,1562500,1579.34265136719
-2033000,1562500,1658.11291503906
-2032500,1562500,1765.02697753906
-2032000,1562500,1766.42260742188
-2031500,1562500,1590.80114746094
-2031000,1562500,1576.97314453125
-2030500,1562500,1763.27478027344
-2030000,1562500,1774.56066894531
-2105000,1563000,985.901306152344
-2104500,1563000,1003.08959960938
-2104000,1563000,1107.03930664062
-2103500,1563000,1055.84985351562
-2103000,1563000,1070.7470703125
-2102500,1563000,1092.7236328125
-2102000,1563000,1175.63012695312
-2101500,1563000,1116.93627929688
-2101000,1563000,1161.08142089844
-2100500,1563000,1204.51879882812
-2100000,1563000,1208.396484375
-2099500,1563000,1206.93469238281
-2099000,1563000,1295.84704589844
-2098500,1563000,1287.17749023438
-2098000,1563000,1334.15246582031
-2097500,1563000,1335.15502929688
-2097000,1563000,1335.51293945312
-2096500,1563000,1330.49450683594
-2096000,1563000,1313.31481933594
-2095500,1563000,1291.19360351562
-2095000,1563000,1313.40612792969
-2094500,1563000,1355.5546875
-2094000,1563000,1399.32556152344
-2093500,1563000,1352.150390625
-2093000,1563000,1363.57238769531
-2092500,1563000,1365.02905273438
-2092000,1563000,1381.46728515625
-2091500,1563000,1439.85192871094
-2091000,1563000,1504.30969238281
-2090500,1563000,1523.19482421875
-2090000,1563000,1548.48083496094
-2089500,1563000,1574.94299316406
-2089000,1563000,1606.64111328125
-2088500,1563000,1646.48107910156
-2088000,1563000,1695.224609375
-2087500,1563000,1882.64282226562
-2087000,1563000,2001.31713867188
-2086500,1563000,2100.8134765625
-2086000,1563000,2097.12084960938
-2085500,1563000,2293.58349609375
-2085000,1563000,2200.03271484375
-2084500,1563000,2305.26977539062
-2084000,1563000,2356.10302734375
-2083500,1563000,2337.01342773438
-2083000,1563000,2245.43872070312
-2082500,1563000,2162.11059570312
-2082000,1563000,2107.52026367188
-2081500,1563000,2113.23974609375
-2081000,1563000,1951.74365234375
-2080500,1563000,1853.76086425781
-2080000,1563000,1931.45788574219
-2079500,1563000,1917.38134765625
-2079000,1563000,1897.0234375
-2078500,1563000,1930.85412597656
-2078000,1563000,1879.30810546875
-2077500,1563000,1771.56127929688
-2077000,1563000,1761.75720214844
-2076500,1563000,1894.78540039062
-2076000,1563000,1735.83056640625
-2075500,1563000,1820.607421875
-2075000,1563000,1768.17565917969
-2074500,1563000,1763.08825683594
-2074000,1563000,1743.53833007812
-2073500,1563000,1800.57116699219
-2073000,1563000,1883.13513183594
-2072500,1563000,1979.30407714844
-2072000,1563000,1979.6552734375
-2071500,1563000,2008.03747558594
-2071000,1563000,1886.18090820312
-2070500,1563000,1754.23974609375
-2070000,1563000,1890.08264160156
-2069500,1563000,1819.91430664062
-2069000,1563000,1694.91271972656
-2068500,1563000,1546.69274902344
-2068000,1563000,1609.96899414062
-2067500,1563000,1632.34204101562
-2067000,1563000,1858.1650390625
-2066500,1563000,1844.85900878906
-2066000,1563000,1872.11901855469
-2065500,1563000,1715.10571289062
-2065000,1563000,1502.66674804688
-2064500,1563000,1623.54345703125
-2064000,1563000,1507.21508789062
-2063500,1563000,1442.52722167969
-2063000,1563000,1352.86645507812
-2062500,1563000,1509.06982421875
-2062000,1563000,1503.97631835938
-2061500,1563000,1410.91967773438
-2061000,1563000,1288.31970214844
-2060500,1563000,1264.05798339844
-2060000,1563000,1458.60266113281
-2059500,1563000,1365.69702148438
-2059000,1563000,1306.42407226562
-2058500,1563000,1168.54614257812
-2058000,1563000,1236.1533203125
-2057500,1563000,1217.39636230469
-2057000,1563000,1039.11242675781
-2056500,1563000,914.270446777344
-2056000,1563000,924.121520996094
-2055500,1563000,1164.38171386719
-2055000,1563000,1332.62353515625
-2054500,1563000,1371.31384277344
-2054000,1563000,1392.41101074219
-2053500,1563000,1206.99255371094
-2053000,1563000,1125.56567382812
-2052500,1563000,1221.52075195312
-2052000,1563000,1201.70056152344
-2051500,1563000,982.869689941406
-2051000,1563000,1058.98657226562
-2050500,1563000,1000.259765625
-2050000,1563000,1147.01574707031
-2049500,1563000,1013.70880126953
-2049000,1563000,1059.69677734375
-2048500,1563000,1015.38391113281
-2048000,1563000,814.663513183594
-2047500,1563000,839.593017578125
-2047000,1563000,679.546936035156
-2046500,1563000,764.362854003906
-2046000,1563000,791.554931640625
-2045500,1563000,966.092407226562
-2045000,1563000,1103.77563476562
-2044500,1563000,1125.89685058594
-2044000,1563000,1087.92224121094
-2043500,1563000,1138.6591796875
-2043000,1563000,1064.5712890625
-2042500,1563000,1202.77124023438
-2042000,1563000,1330.13232421875
-2041500,1563000,1340.56726074219
-2041000,1563000,1418.69213867188
-2040500,1563000,1417.75354003906
-2040000,1563000,1515.71069335938
-2039500,1563000,1412.224609375
-2039000,1563000,1443.64929199219
-2038500,1563000,1338.12341308594
-2038000,1563000,1553.21740722656
-2037500,1563000,1627.3232421875
-2037000,1563000,1574.53100585938
-2036500,1563000,1433.9345703125
-2036000,1563000,1522.60522460938
-2035500,1563000,1523.92993164062
-2035000,1563000,1402.12976074219
-2034500,1563000,1427.44677734375
-2034000,1563000,1473.296875
-2033500,1563000,1576.3056640625
-2033000,1563000,1608.70068359375
-2032500,1563000,1752.90686035156
-2032000,1563000,1752.74865722656
-2031500,1563000,1624.09484863281
-2031000,1563000,1476.46398925781
-2030500,1563000,1507.35705566406
-2030000,1563000,1570.322265625
-2105000,1563500,1010.65002441406
-2104500,1563500,1020.41241455078
-2104000,1563500,1076.60571289062
-2103500,1563500,1033.08898925781
-2103000,1563500,1048.36242675781
-2102500,1563500,1065.90002441406
-2102000,1563500,1079.16613769531
-2101500,1563500,1097.75769042969
-2101000,1563500,1112.86572265625
-2100500,1563500,1132.40307617188
-2100000,1563500,1153.47155761719
-2099500,1563500,1215.94165039062
-2099000,1563500,1272.02453613281
-2098500,1563500,1307.92333984375
-2098000,1563500,1347.05480957031
-2097500,1563500,1365.884765625
-2097000,1563500,1365.1796875
-2096500,1563500,1419.8671875
-2096000,1563500,1378.92333984375
