"","x","y"
"1",-2105000,1562500
"2",-2104500,1562500
"3",-2104000,1562500
"4",-2103500,1562500
"5",-2103000,1562500
"6",-2102500,1562500
"7",-2102000,1562500
"8",-2101500,1562500
"9",-2101000,1562500
"10",-2100500,1562500
"11",-2100000,1562500
"12",-2099500,1562500
"13",-2099000,1562500
"14",-2098500,1562500
"15",-2098000,1562500
"16",-2097500,1562500
"17",-2097000,1562500
"18",-2096500,1562500
"19",-2096000,1562500
"20",-2095500,1562500
"21",-2095000,1562500
"22",-2094500,1562500
"23",-2094000,1562500
"24",-2093500,1562500
"25",-2093000,1562500
"26",-2092500,1562500
"27",-2092000,1562500
"28",-2091500,1562500
"29",-2091000,1562500
"30",-2090500,1562500
"31",-2090000,1562500
"32",-2089500,1562500
"33",-2089000,1562500
"34",-2088500,1562500
"35",-2088000,1562500
"36",-2087500,1562500
"37",-2087000,1562500
"38",-2086500,1562500
"39",-2086000,1562500
"40",-2085500,1562500
"41",-2085000,1562500
"42",-2084500,1562500
"43",-2084000,1562500
"44",-2083500,1562500
"45",-2083000,1562500
"46",-2082500,1562500
"47",-2082000,1562500
"48",-2081500,1562500
"49",-2081000,1562500
"50",-2080500,1562500
"51",-2080000,1562500
"52",-2079500,1562500
"53",-2079000,1562500
"54",-2078500,1562500
"55",-2078000,1562500
"56",-2077500,1562500
"57",-2077000,1562500
"58",-2076500,1562500
"59",-2076000,1562500
"60",-2075500,1562500
"61",-2075000,1562500
"62",-2074500,1562500
"63",-2074000,1562500
"64",-2073500,1562500
"65",-2073000,1562500
"66",-2072500,1562500
"67",-2072000,1562500
"68",-2071500,1562500
"69",-2071000,1562500
"70",-2070500,1562500
"71",-2070000,1562500
"72",-2069500,1562500
"73",-2069000,1562500
"74",-2068500,1562500
"75",-2068000,1562500
"76",-2067500,1562500
"77",-2067000,1562500
"78",-2066500,1562500
"79",-2066000,1562500
"80",-2065500,1562500
"81",-2065000,1562500
"82",-2064500,1562500
"83",-2064000,1562500
"84",-2063500,1562500
"85",-2063000,1562500
"86",-2062500,1562500
"87",-2062000,1562500
"88",-2061500,1562500
"89",-2061000,1562500
"90",-2060500,1562500
"91",-2060000,1562500
"92",-2059500,1562500
"93",-2059000,1562500
"94",-2058500,1562500
"95",-2058000,1562500
"96",-2057500,1562500
"97",-2057000,1562500
"98",-2056500,1562500
"99",-2056000,1562500
"100",-2055500,1562500
"101",-2055000,1562500
"102",-2054500,1562500
"103",-2054000,1562500
"104",-2053500,1562500
"105",-2053000,1562500
"106",-2052500,1562500
"107",-2052000,1562500
"108",-2051500,1562500
"109",-2051000,1562500
"110",-2050500,1562500
"111",-2050000,1562500
"112",-2049500,1562500
"113",-2049000,1562500
"114",-2048500,1562500
"115",-2048000,1562500
"116",-2047500,1562500
"117",-2047000,1562500
"118",-2046500,1562500
"119",-2046000,1562500
"120",-2045500,1562500
"121",-2045000,1562500
"122",-2044500,1562500
"123",-2044000,1562500
"124",-2043500,1562500
"125",-2043000,1562500
"126",-2042500,1562500
"127",-2042000,1562500
"128",-2041500,1562500
"129",-2041000,1562500
"130",-2040500,1562500
"131",-2040000,1562500
